Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 44.6 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 0/13675
Rendered 1/13675, time remaining: 48m 5s
Rendered 2/13675, time remaining: 25m 17s
Rendered 3/13675, time remaining: 17m 37s
Rendered 4/13675, time remaining: 13m 57s
Rendered 5/13675, time remaining: 12m 29s
Rendered 6/13675, time remaining: 10m 51s
Rendered 7/13675, time remaining: 9m 37s
Rendered 8/13675, time remaining: 8m 47s
Rendered 9/13675, time remaining: 8m 24s
Rendered 10/13675, time remaining: 7m 50s
Rendered 11/13675, time remaining: 7m 23s
Rendered 12/13675, time remaining: 6m 57s
Rendered 13/13675, time remaining: 6m 39s
Rendered 14/13675, time remaining: 6m 31s
Rendered 15/13675, time remaining: 6m 17s
Rendered 16/13675, time remaining: 6m 2s
Rendered 17/13675, time remaining: 5m 52s
Rendered 18/13675, time remaining: 5m 48s
Rendered 19/13675, time remaining: 5m 39s
Rendered 20/13675, time remaining: 5m 29s
Rendered 21/13675, time remaining: 5m 21s
Rendered 22/13675, time remaining: 5m 20s
Rendered 23/13675, time remaining: 5m 13s
Rendered 24/13675, time remaining: 5m 8s
Rendered 25/13675, time remaining: 5m 1s
Rendered 26/13675, time remaining: 4m 57s
Rendered 27/13675, time remaining: 4m 54s
Rendered 28/13675, time remaining: 4m 51s
Rendered 29/13675, time remaining: 4m 46s
Rendered 30/13675, time remaining: 4m 42s
Rendered 31/13675, time remaining: 4m 38s
Rendered 32/13675, time remaining: 4m 40s
Rendered 33/13675, time remaining: 4m 37s
Rendered 34/13675, time remaining: 4m 33s
Rendered 35/13675, time remaining: 4m 30s
Rendered 36/13675, time remaining: 4m 28s
Rendered 37/13675, time remaining: 4m 27s
Rendered 38/13675, time remaining: 4m 24s
Rendered 39/13675, time remaining: 4m 23s
Rendered 40/13675, time remaining: 4m 22s
Rendered 41/13675, time remaining: 4m 20s
Rendered 42/13675, time remaining: 4m 17s
Rendered 43/13675, time remaining: 4m 18s
Rendered 44/13675, time remaining: 4m 16s
Rendered 45/13675, time remaining: 4m 14s
Rendered 46/13675, time remaining: 4m 11s
Rendered 47/13675, time remaining: 4m 16s
Rendered 48/13675, time remaining: 4m 13s
Rendered 49/13675, time remaining: 4m 12s
Rendered 50/13675, time remaining: 4m 9s
Rendered 51/13675, time remaining: 4m 15s
Rendered 52/13675, time remaining: 4m 12s
Rendered 53/13675, time remaining: 4m 10s
Rendered 54/13675, time remaining: 4m 8s
Rendered 55/13675, time remaining: 4m 11s
Rendered 56/13675, time remaining: 4m 10s
Rendered 57/13675, time remaining: 4m 8s
Rendered 58/13675, time remaining: 4m 6s
Rendered 59/13675, time remaining: 4m 8s
Rendered 60/13675, time remaining: 4m 7s
Rendered 61/13675, time remaining: 4m 5s
Rendered 62/13675, time remaining: 4m 4s
Rendered 63/13675, time remaining: 4m 8s
Rendered 64/13675, time remaining: 4m 7s
Rendered 65/13675, time remaining: 4m 6s
Rendered 66/13675, time remaining: 4m 4s
Rendered 67/13675, time remaining: 4m 8s
Rendered 68/13675, time remaining: 4m 7s
Rendered 69/13675, time remaining: 4m 4s
